id,text
Yoda_1,"Powerful you have become, the dark side I sense in you."
Yoda_2,"In a dark place we find ourselves, and a little more knowledge lights our way."
Yoda_3,Always pass on what you have learned.
Yoda_4,"Once you start down the dark path, forever will it dominate your destiny. Consume you, it will."
Yoda_5,Fear is the path to the dark side. Fear leads to anger. Anger leads to hate. Hate leads to suffering.
Yoda_6,Patience you must have my young Padawan.
Yoda_7,Feel the force!
Yoda_8,Truly wonderful the mind of a child is.
Yoda_9,Train yourself to let go of everything you fear to lose.
Yoda_10,Do or do not. There is no try.
Yoda_11,Great warrior. Wars not make one great.
Yoda_12,"The dark side clouds everything. Impossible to see the light, the future is."
Yoda_13,You will find only what you bring in.
Yoda_14,"Control, control, you must learn control!"
Yoda_15,"To be Jedi is to face the truth, and choose. Give off light, or darkness, Padawan. Be a candle, or the night.”"
Yoda_16,Difficult to see. Always in motion is the future.
Yoda_17,"In the end, cowards are those who follow the dark side."
